"quantity_name","units"
"A","No units found"
"aba_decay_constant","No units found"
"aba_influence_coefficient","No units found"
"abs_tol","No units found"
"absorbed_longwave","J / m^2 / s"
"absorbed_longwave","J / (m^2 leaf) / s"
"absorbed_ppfd","micromol / (m^2 leaf) / s"
"absorbed_shortwave","J / (m^2 leaf) / s"
"absorbed_shortwave","J / m^2 / s"
"Ac","micromol / m^2 / s"
"acceleration_from_gravity","No units found"
"air_pressure","Pa"
"Aj","micromol / m^2 / s"
"alpha","mol / mol"
"alpha_rue","mol / mol"
"alpha_rue","dimensionless"
"alpha_TPU","dimensionless"
"alpha1","mol / mol"
"alphab1","No units found"
"alphaLeaf","dimensionless"
"alphaRhizome","dimensionless"
"alphaRoot","dimensionless"
"alphaSeneLeaf","dimensionless"
"alphaSeneRhizome","dimensionless"
"alphaSeneRoot","dimensionless"
"alphaSeneStem","dimensionless"
"alphaShell","dimensionless"
"alphaStem","dimensionless"
"An","micromol / m^2 / s"
"anderson_bjorck_flag","No units found"
"anderson_bjorck_iteration","No units found"
"anderson_bjorck_residual","No units found"
"anderson_bjorck_root","No units found"
"answer","No units found"
"Ap","micromol / m^2 / s"
"Assim","micromol / m^2 / s"
"Assim","micromol / m^2 /s"
"Assim_check","micromol / m^2 / s"
"Assim_conductance","micromol / m^2 / s"
"atmospheric_pressure","Pa"
"atmospheric_scattering","dimensionless"
"atmospheric_transmittance","dimensionless"
"B","No units found"
"b0","mol / m^2 / s"
"b1","dimensionless from [mol / m^2 / s] / [mol / m^2 / s]"
"b1","dimensionless"
"beta","dimensionless"
"beta_PSII","dimensionless (fraction of absorbed light that reaches photosystem II)"
"betaLeaf","dimensionless"
"betaRhizome","dimensionless"
"betaRoot","dimensionless"
"betaSeneLeaf","dimensionless"
"betaSeneRhizome","dimensionless"
"betaSeneRoot","dimensionless"
"betaSeneStem","dimensionless"
"betaShell","dimensionless"
"betaStem","dimensionless"
"bisection_flag","No units found"
"bisection_iteration","No units found"
"bisection_residual","No units found"
"bisection_root","No units found"
"C","No units found"
"C_conv","kg / mol"
"canopy_assimilation","Mg / ha / hr"
"canopy_assimilation_molar_flux","micromol / m^2 / s"
"canopy_assimilation_molar_flux","micromol CO2 / m^2 / s"
"canopy_assimilation_rate","Mg / ha / hr"
"canopy_assimilation_rate","Mg / ha / hour"
"canopy_conductance","mol / m^2 / s"
"canopy_conductance","mmol / m^2 / s"
"canopy_direct_transmission_fraction","dimensionless"
"canopy_gross_assimilation","Mg / ha / hr"
"canopy_gross_assimilation_molar_flux","micromol / m^2 / s"
"canopy_gross_assimilation_molar_flux","micromol CO2 / m^2 / s"
"canopy_gross_assimilation_rate","Mg / ha / hr"
"canopy_height","m"
"canopy_non_photorespiratory_CO2_release","Mg / ha / hr"
"canopy_non_photorespiratory_CO2_release_molar_flux","micromol / m^2 / s"
"canopy_non_photorespiratory_CO2_release_molar_flux","micromol CO2 / m^2 / s"
"canopy_non_photorespiratory_CO2_release_rate","Mg / ha / hr"
"canopy_photorespiration","Mg / ha / hr"
"canopy_photorespiration_molar_flux","micromol / m^2 / s"
"canopy_photorespiration_molar_flux","micromol CO2 / m^2 / s"
